rank	ru	en	pos
977	подгото'вка	preparation	Nf
978	истори'ческий	historical	A
979	лёгкий	easy, light	A
980	ито'г	total, result	Nm
981	сожале'ние	regret, sympathy	Nn
982	у'хо	ear	Nn
983	заня'тие	occupation, lesson	Nn
984	соотве'тствующий	corresponding	A
985	существова'ние	existence, being	Nn
986	приглаша'ть	invite	V
987	мужи'к	man	Nm
988	городско'й	urban, town	A
989	октя'брь	October	Nm
990	впервы'е	for the first time	Adv
991	неда'вно	recently	Adv
992	нос	nose	Nm
993	существо'	creature	Nn
994	генера'л	general	Nm
995	есть	eat	V
996	зна'чить	mean	V
997	благодаря'	thanks to	Prep
998	облада'ть	own, have	V
999	мно'гое	much, many things	P
1000	сентя'брь	September	Nm
1001	пра'вильно	correct(ly)	Adv
1002	счита'ться	be considered	V
1003	клуб	club	Nm
1004	глубо'кий	deep	A
1005	принадлежа'ть	belong	V
1006	наступа'ть	step on, come, attack, arrive	V
1007	приобрета'ть	acquire, get	V
1008	абсолю'тно	absolutely, completely	Adv
1009	ле'то	summer	Nn
1010	споко'йно	quietly, peacefully	Adv
1011	доходи'ть	reach	V
1012	приводи'ть	bring, lead	V
1013	францу'зский	French	A
1014	оде'жда	clothing, clothes	Nf
1015	ста'рший	senior, elder	N-
1016	подава'ть	submit	V
1017	достава'ть	get, pester (slang)	V
1018	автомоби'ль	car	Nm
1019	оце'нивать	evaluate, assess	V
1020	прода'жа	sale	Nf
1021	ра'мка	frame, scope	Nf
1022	дека'брь	December	Nm
1023	теа'тр	theatre	Nm
1024	университе'т	university	Nm
1025	произведе'ние	production, creative work	Nn
1026	СССР	USSR	Nm
1027	где-то	somewhere	P
1028	ма'лый	minor, small	N-
1029	ча'стный	private	A
1030	сестра'	sister, nurse	Nf
1031	фина'нсовый	financial	A
1032	крича'ть	shout	V
1033	фонд	fund	Nm
1034	РФ	Russian Federation	Nf
1035	наблюда'ть	observe	V
1036	отлича'ться	differ	V
1037	плати'ть	pay	V
1038	Фра'нция	France	Nf
1039	выпива'ть	drink, take (tablets)	V
1040	за'пад	west	Nm
1041	выраже'ние	expression	Nn
1042	располага'ть	have, possess, be favourable,  be conducive	V
1043	золото'й	gold	A
1044	тёмный	dark	A
1045	ве'рсия	version	Nf
1046	мини'стр	minister	Nm
1047	це'лое	whole	Nn
1048	ра'ди	for, for the sake of	Prep
1049	не'мец	German	Nm
1050	губа'	lip	Nf
1051	допуска'ть	accept, admit	V
1052	а'кция	campaign, share, stock	Nf
1053	суди'ть	try, judge	V
1054	объявля'ть	announce	V
1055	изменя'ться	change	V
1056	дополни'тельный	additional	A
1057	пусто'й	empty	A
1058	Аме'рика	America	Nf
1059	холо'дный	cold	A
1060	цвето'к	flower	Nm
1061	зато'	but, on the other hand	C
1062	центра'льный	central	A
1063	профессиона'льный	professional	A
1064	суть	essence, crux	Nf
1065	заво'д	factory, plant	Nm
1066	федера'ция	federation	Nf
1067	федера'льный	federal	A
1068	техни'ческий	technical	A
1069	приём	reception	Nm
1070	превраща'ться	turn into	V
1071	осо'бенность	feature	Nf
1072	дере'вня	village	Nf
1073	понима'ние	understanding	Nn
1074	рожде'ние	birth	Nn
1075	февра'ль	February	Nm
1076	обстоя'тельство	fact	Nn
1077	ле'вый	left, unauthorized	N-
1078	ию'нь	June	Nm
1079	добива'ться	seek to attain	V
1080	выступа'ть	perform, be in favour	V
1081	боле'знь	disease	Nf
1082	пло'щадь	square, area	Nf
1083	подхо'д	approach	Nm
1084	родно'й	(one’s) own	A
1085	стреми'ться	strive, try	V
1086	ста'нция	station	Nf
1087	обуче'ние	training, learning	Nn
1088	вро'де	like, such as	Part
1089	насто'лько	so	Adv
1090	подде'рживать	maintain, support	V
1091	упа'сть	fall	V
1092	за'пись	note, record, recording	Nf
1093	значи'тельный	significant	A
1094	напомина'ть	remind	V
1095	наро'дный	national, public, folk	A
1096	вниз	down	Adv
1097	учёный	academic, scientific	N-
1098	скла'дываться	develop, take shape,  consist of, be made up of	V
1099	соотве'тствие	correspondence,  accordance	Nn
1100	поэ'т	poet	Nm
1101	утвержда'ть	claim	V
1102	позвони'ть	ring, call	V
1103	офице'р	officer	Nm
1104	револю'ция	revolution	Nf
1105	рекла'ма	advertisement	Nf
1106	вы'боры	election(s)	N-
1107	явле'ние	phenomenon, feature, fact	Nn
1108	выпуска'ть	produce, let out	V
1109	вско'ре	soon	Adv
1110	отде'л	department	Nm
1111	коро'ль	king	Nm
1112	ближа'йший	nearest, closest	A
1113	фронт	front line	Nm
1114	дока'зывать	prove	V
1115	выража'ть	express	V
1116	худо'жник	artist	Nm
1117	живо'тное	animal	Nn
1118	информацио'нный	information	A
1119	по'льзователь	user	Nm
1120	стиль	style	Nm
1121	дви'гаться	move	V
1122	ию'ль	July	Nm
1123	но'рма	norm, standard	Nf
1124	отве'тственность	responsibility	Nf
1125	сто	hundred	Num
1126	чего'	what, why	P
1127	европе'йский	European	A
1128	переда'ча	transmission, programme	Nf
1129	фра'за	phrase	Nf
1130	определе'ние	definition, determination	Nn
1131	рабо'тник	worker, employee	Nm
1132	едва'	hardly, barely	Adv
1133	зелёный	green	A
1134	петь	sing	V
1135	да'та	date	Nf
1136	бу'дущий	future	A
1137	вводи'ть	lead in, introduce, enter	V
1138	семь	seven	Num
1139	фотогра'фия	photograph	Nf
1140	волна'	wave	Nf
1141	разрабо'тка	development	Nf
1142	дохо'д	income	Nm
1143	капита'н	captain	Nm
1144	уси'лие	effort	Nn
1145	сто'лько	so much, so many	Num
1146	зака'нчиваться	end	V
1147	профе'ссор	professor	Nm
1148	я'сный	clear	A
1149	ноя'брь	November	Nm
1150	понра'виться	like	V
1151	эта'п	stage	Nm
1152	предоставля'ть	provide, give	V
1153	приду'мывать	create, think up	V
1154	перево'д	translation, transfer	Nm
1155	фа'ктор	factor	Nm
1156	це'нность	value	Nf
1157	ти'хо	quiet(ly)	Adv
1158	кана'л	channel, canal	Nm
1159	сравне'ние	comparison	Nn
1160	что-нибу'дь	something, anything	P
1161	кабине'т	cabinet, study	Nm
1162	роди'ться	be born	V
1163	се'верный	northern	A
1164	чай	tea, tip	Nm
1165	поле'зный	useful, good	A
1166	ли'чно	personally	Adv
1167	выдава'ть	give (out), reveal	V
1168	подро'бный	detailed	A
1169	сла'бый	weak	A
1170	журнали'ст	journalist	Nm
1171	наоборо'т	on the contrary	Adv
1172	проведе'ние	holding	Nn
1173	ита'к	so	Adv
1174	выполня'ть	perform, do, fulfil	V
1175	ны'нешний	current	A
1176	гражда'нский	civil	A
1177	лист	leaf, sheet	Nm
1178	обеспече'ние	provision, securing	Nn
1179	коми'ссия	commission	Nf
1180	снег	snow	Nm
1181	испо'льзоваться	be used	V
1182	уча'ствовать	take part	V
1183	рассма'тривать	consider	V
1184	дре'вний	ancient	A
1185	бить	beat, hit	V
1186	зуб	tooth	Nm
1187	тради'ция	tradition	Nf
1188	невозмо'жный	impossible	A
1189	высота'	height	Nf
1190	фо'рум	forum	Nm
1191	есте'ственный	natural	A
1192	иностра'нный	foreign	A
1193	ла'дно	okay	Part
1194	председа'тель	chairman	Nm
1195	ма'ссовый	mass	A
1196	звони'ть	ring, call	V
1197	организо'вывать	organize, arrange	V
1198	я'сно	clear	Adv
1199	молча'ть	be silent	V
1200	о'стров	island	Nm
1201	прия'тный	pleasant	A
1202	прочита'ть	read	V
1203	поня'тный	clear	A
1204	ма'стер	master	Nm
1205	ку'хня	kitchen	Nf
1206	про'чий	other	P
1207	де'тство	childhood	Nn
1208	сад	garden	Nm
1209	па'дать	fall	V
1210	карма'н	pocket	Nm
1211	сомне'ние	doubt	Nn
1212	со'тня	hundred	Nf
1213	запи'сывать	write down, record	V
1214	деся'ток	ten	Nm
1215	уча'сток	area, district, ward, plot	Nm
1216	чёрт	devil	Nm
1217	обеща'ть	promise	V
1218	про'шлое	past	Nn
1219	покупа'ть	buy	V
1220	открыва'ться	open	V
1221	посвяща'ть	dedicate, devote, let into	V
1222	строи'тельство	construction	Nn
1223	Украи'на	Ukraine	Nf
1224	разуме'ется	of course	Adv
1225	сосе'д	neighbour	Nm
1226	пи'во	beer	Nn
1227	то'нкий	thin, fine	A
1228	смея'ться	laugh	V
1229	я'ркий	bright	A
1230	устро'йство	device, machine, organizing,  sorting out	Nn
1231	слеза'	tear	Nf
1232	соотве'тствовать	correspond	V
1233	дальне'йший	further, future	A
1234	библиоте'ка	library	Nf
1235	обще'ние	communication, talking	Nn
1236	ча'стность	detail, particular	Nf
1237	нали'чие	presence, availability	Nn
1238	разбира'ться	know, be disassembled	V
1239	ве'рный	correct, loyal	A
1240	отли'чие	difference, distinction	Nn
1241	ме'лкий	minor, shallow	A
1242	по'езд	train	Nm
1243	прожива'ть	reside	V
1244	согла'сный	consonant, agree	A
1245	царь	tsar, king	Nm
1246	проду'кция	production, goods	Nf
1247	примене'ние	application, use	Nn
1248	пото'к	stream	Nm
1249	меша'ть	stir, disturb, disrupt	V
1250	настрое'ние	mood	Nn
1251	постепе'нно	gradually	Adv
1252	дво'е	two (people)	Num
1253	реда'кция	editorship, editorial office,  editorial staff	Nf
1254	не'что	something	P
1255	плане'та	planet	Nf
1256	обра'тно	back	Adv
1257	толпа'	crowd	Nf
1258	здоро'вый	healthy, robust	A
1259	поколе'ние	generation	Nn
1260	принима'ться	set to, start	V
1261	реа'кция	reaction	Nf
1262	вероя'тный	likely	A
1263	у'мный	clever, smart	A
1264	вступа'ть	join in, step into	V
1265	механи'зм	mechanism	Nm
1266	пти'ца	bird	Nf
1267	сквозь	through	Prep
1268	же'ртва	sacrifice, victim	Nf
1269	хозя'йство	house, sector	Nn
1270	учени'к	pupil	Nm
1271	подтвержда'ть	confirm	V
1272	достиже'ние	achievement	Nn
1273	органи'зм	organism	Nm
1274	заявле'ние	application, statement	Nn
1275	буты'лка	bottle	Nf
1276	свято'й	saint	N-
1277	вверх	up	Adv
1278	удивля'ться	be surprised	V
1279	уе'хать	leave, go	V
1280	знако'миться	meet, get to know	V
1281	рису'нок	drawing	Nm
1282	покида'ть	leave	V
1283	пре'жний	previous	A
1284	музе'й	museum	Nm
1285	мозг	brain	Nm
1286	официа'льный	official	A
1287	улы'бка	smile	Nf
1288	дождь	rain	Nm
1289	по'льза	benefit	Nf
1290	состоя'ться	take place	V
1291	тру'дный	difficult	A
1292	ба'бушка	grandmother	Nf
1293	хлеб	bread	Nm
1294	испы'тывать	feel, test	V
1295	восто'к	east	Nm
1296	полага'ть	suppose, believe	V
1297	дома'шний	home	A
1298	сего'дняшний	today’s	A
1299	со'бственно	actually	Adv
1300	получе'ние	receipt, getting	Nn
1301	помеще'ние	room	Nn
1302	опа'сный	dangerous	A
1303	до'ля	share, part, deal	Nf
1304	согла'сно	according to, by	Prep
1305	тень	shadow, shade	Nf
1306	бога'тый	rich	N-
1307	морско'й	sea	A
1308	учи'ть	teach, learn	V
1309	возвраща'ть	return	V
1310	выраста'ть	grow (up), increase	V
1311	инструме'нт	instrument, tool	Nm
1312	наруше'ние	violation	Nn
1313	ли'дер	leader	Nm
1314	комите'т	committee	Nm
1315	сла'ва	glory, fame	Nf
1316	содержа'ть	contain, keep	V
1317	отсю'да	from here	P
1318	фигу'ра	figure	Nf
1319	просыпа'ться	wake up	V
1320	ла'герь	camp	Nm
1321	ко'жа	skin, leather	Nf
1322	след	trace, footprint	Nm
1323	со'бственность	property	Nf
1324	у'жас	horror	Nm
1325	разде'л	division, branch	Nm
1326	назнача'ть	set, arrange, appoint	V
1327	реализа'ция	realization, implementation,  marketing, sales	Nf
1328	зави'симость	dependence, addiction	Nf
1329	поте'ря	loss	Nf
1330	реа'льность	reality	Nf
1331	привлека'ть	attract	V
1332	привыка'ть	get used	V
1333	собра'ние	meeting, collection	Nn
1334	экра'н	screen	Nm
1335	пост	post, station, fast, (blog) post, duty	Nm
1336	здра'вствовать	hello, long life	V
1337	зима'	winter	Nf
1338	разраба'тывать	develop, work out	V
1339	по'здно	late	Adv
1340	уро'к	lesson	Nm
1341	акти'вный	active	A
1342	перехо'д	crossing, transition	Nm
1343	крова'ть	bed	Nf
1344	вино'	wine	Nn
1345	секс	sex	Nm
1346	ко'мплекс	complex	Nm
1347	ро'дина	homeland	Nf
1348	звуча'ть	sound	V
1349	коле'но	knee	Nn
1350	зо'на	zone	Nf
1351	выделя'ть	release, allot	V
1352	электро'нный	electronic	A
1353	изда'ние	publication	Nn
1354	появле'ние	appearance	Nn
1355	евре'й	Jew	Nm
1356	ре'зко	sharply	Adv
1357	акт	act, regulation	Nm
1358	разгова'ривать	talk	V
1359	ре'дко	rarely	Adv
1360	поговори'ть	talk	V
1361	разреша'ть	allow, solve	V
1362	при'знак	sign	Nm
1363	и'стина	truth	Nf
1364	эта'ж	floor	Nm
1365	замеча'тельный	remarkable	A
1366	тре'боваться	need	V
1367	пла'кать	cry	V
1368	потре'бность	need	Nf
1369	бюдже'т	budget	Nm
1370	долг	debt, duty	Nm
1371	храм	temple	Nm
1372	князь	prince	Nm
1373	заходи'ть	come in, drop by	V
1374	опа'сность	danger	Nf
1375	депута'т	deputy	Nm
1376	кива'ть	nod	V
1377	честь	honour	Nf
1378	учёт	accounting	Nm
1379	колле'га	colleague	Nc
1380	гла'вное	the main thing	Nn
1381	ми'лый	cute, lovely	N-
1382	зараба'тывать	earn	V
1383	предполага'ть	assume	V
1384	катего'рия	category, class	Nf
1385	прика'з	order	Nm
1386	администра'ция	administration	Nf
1387	глубина'	depth	Nf
1388	полёт	flight	Nm
1389	традицио'нный	traditional	A
1390	эффе'кт	effect	Nm
1391	уничтожа'ть	destroy, wipe out	V
1392	реша'ться	hesitate, be resolved	V
1393	торго'вый	trading, shopping	A
1394	описа'ние	description	Nn
1395	риск	risk	Nm
1396	подру'га	friend (female)	Nf
1397	горя'чий	hot	A
1398	ло'шадь	horse	Nf
1399	коридо'р	corridor	Nm
1400	капита'л	capital	Nm
1401	ко'нкурс	competition	Nm
1402	партнёр	partner	Nm
1403	повора'чиваться	turn	V
1404	исключе'ние	exception, expulsion	Nn
1405	ночно'й	night	A
1406	весна'	spring	Nf
1407	красота'	beauty	Nf
1408	черта'	line, feature	Nf
1409	три'дцать	thirty	Num
1410	во'зле	by, near	Prep
1411	схе'ма	scheme	Nf
1412	ры'ба	fish	Nf
1413	суме'ть	manage	V
1414	опубликова'ть	publish	V
1415	глубоко'	deep(ly)	Adv
1416	сдава'ть	give, let, return, betray (slang)	V
1417	то'чный	exact	A
1418	прибыва'ть	arrive	V
1419	присыла'ть	send	V
1420	тру'бка	tube, telephone receiver	Nf
1421	остана'вливать	stop	V
1422	говори'ться	be said, be discussed	V
1423	аппара'т	apparatus, equipment	Nm
1424	сади'ться	sit down	V
1425	восто'чный	eastern	A
1426	откры'тие	opening, discovery	Nn
1427	знамени'тый	famous	A
1428	стихи'	poetry	N-
1429	тёплый	warm	A
1430	чу'до	miracle	Nn
1431	включа'ть	include, turn on	V
1432	фами'лия	surname	Nf
1433	броса'ться	throw	V
1434	ключ	key	Nm
1435	заключа'ться	consist, be	V
1436	кре'сло	armchair	Nn
1437	ти'хий	quiet	A
1438	выводи'ть	take out, lead out	V
1439	ра'зница	difference	Nf
1440	чей	whose	P
1441	во'семь	eight	Num
1442	взгля'дывать	look at	V
1443	прису'тствовать	present	V
1444	министе'рство	ministry	Nn
1445	кино'	film	Nn
1446	неожи'данно	unexpected(ly)	Adv
1447	конча'ться	finish, run out	V
1448	медици'нский	medical	A
1449	штат	staff, state	Nm
1450	нало'г	tax	Nm
1451	захоте'ть	want	V
1452	све'дение/сведе'ние	information   (the first syllable stressed), resolution  (the second syllable stressed)	Nn
1453	конфли'кт	conflict	Nm
1454	культу'рный	cultural	A
1455	середи'на	middle	Nf
1456	пода'рок	gift	Nm
1457	прекра'сно	fine, perfectly, well	Adv
1458	предыду'щий	previous	A
1459	ра'нний	early	A
1460	расчёт	calculation	Nm
1461	за'пах	odour, aroma	Nm
1462	е'здить	ride, travel	V
1463	пожа'луй	I think, probably	Adv
1464	преступле'ние	crime	Nn
1465	теря'ть	lose	V
1466	обраще'ние	appeal, appointment	Nn
1467	бе'дный	poor	N-
1468	ка'мера	camera, cell	Nf
1469	внутри'	inside	Prep
1470	рад	happy, glad	A
1471	столи'ца	capital	Nf
1472	меня'ть	change	V
1473	торго'вля	trade	Nf
1474	больни'ца	hospital	Nf
1475	та'йна	mystery, secret	Nf
1476	эпо'ха	epoch, era	Nf
1477	запреща'ть	prohibit	V
1478	почему'-то	for some reason, somehow	P
1479	литерату'рный	literary	A
1480	выполне'ние	accomplishment, doing	Nn
1481	вы'ставка	exhibition	Nf
1482	научи'ться	learn	V
1483	вы'пуск	edition, production	Nm
1484	протя'гивать	give, stretch	V
1485	уваже'ние	respect	Nn
1486	заду'мываться	think deeply	V
1487	вноси'ть	bring in	V
1488	бу'ква	letter	Nf
1489	после'дствие	consequence	Nn
1490	поня'тно	clear(ly)	Adv
1491	тво'рческий	creative	A
1492	изображе'ние	image, picture	Nn
1493	материа'льный	material	A
1494	уче'бный	learning, training	A
1495	заключе'ние	setting up, conclusion,  imprisonment	Nn
1496	признава'ться	confess	V
1497	похо'же	it seems that, it looks like	Adv
1498	желе'зный	iron	A
1499	дета'ль	detail, part	Nf
1500	се'рый	grey	A
1501	авто'бус	bus	Nm
1502	воспомина'ние	remembrance,   memory	Nn
1503	челове'чество	humanity, mankind	Nn
1504	ко'рпус	block, building, body, corps,  corpus (linguistics)	Nm
1505	вкус	taste, flavour	Nm
1506	заседа'ние	meeting	Nn
1507	спустя'	later, after	Prep
1508	миллиа'рд	billion	Nm
1509	недоста'ток	disadvantage, shortage	Nm
1510	держа'ться	hold, keep	V
1511	зара'нее	beforehand, earlier	Adv
1512	перспекти'ва	perspective	Nf
1513	отделе'ние	department, separation	Nn
1514	ссы'лка	reference, exile	Nf
1515	конфере'нция	conference	Nf
1516	дари'ть	present	V
1517	спуска'ться	descend	V
1518	спасти'	rescue, save	V
1519	разреше'ние	permission, resolution	Nn
1520	тяжело'	hard, heavily	Adv
1521	мо'щный	powerful	A
1522	обе'д	lunch	Nm
1523	угро'за	threat	Nf
1524	изуче'ние	study, research	Nn
1525	производи'ть	produce	V
1526	про'сьба	request, ask	Nf
1527	эффекти'вный	effective	A
1528	набира'ть	gain, recruit, dial, fill	V
1529	вход	entrance, log-in	Nm
1530	ни'жний	lower, bottom	A
1531	отря'д	group, squad	Nm
1532	ска'жем	let us say, say	Adv
1533	ю'жный	southern	A
1534	телеви'зор	television	Nm
1535	во'дка	vodka	Nf
1536	вес	weight	Nm
1537	дед	grandfather	Nm
1538	пропада'ть	disappear, be lost	V
1539	вздыха'ть	sigh	V
1540	следи'ть	watch	V
1541	со'рок	forty	Num
1542	повыше'ние	rise, promotion	Nn
1543	захва'тывать	grip, capture, take	V
1544	кры'ша	roof, head (slang)	Nf
1545	звоно'к	bell, ring	Nm
1546	продолжа'ться	continue	V
1547	печа'ть	stamp, print, printing	Nf
1548	ра'дио	radio	Nn
1549	конта'кт	contact	Nm
1550	и'стинный	true, real	A
1551	неуже'ли	really	Part
1552	да'ма	lady	Nf
1553	мя'гкий	soft	A
1554	газ	gas	Nm
1555	тво'рчество	creation, work	Nn
1556	худо'жественный	artistic, literary	A
1557	гото'вить	prepare, make	V
1558	избега'ть	avoid	V
1559	посеща'ть	visit, attend	V
1560	четвёртый	fourth	Num
1561	пове'рхность	surface	Nf
1562	брак	marriage, defect	Nm
1563	забира'ть	pick up	V
1564	ве'чный	eternal	A
1565	пуска'ть	let	V
1566	ах	oh	I
1567	мероприя'тие	event, measure	Nn
1568	до'ступ	access	Nm
1569	устано'вка	setting, installation	Nf
1570	случа'йно	by chance	Adv
1571	мужско'й	male, men’s	A
1572	сво'йство	feature	Nn
1573	бесе'да	conversation	Nf
1574	стекло'	glass	Nn
1575	боро'ться	struggle	V
1576	ресу'рс	resource	Nm
1577	горе'ть	burn, be on	V
1578	ли'шний	superfluous, unnecessary	A
1579	свя'занный	connected to, tied	A
1580	зада'ние	task, assignment	Nn
1581	рефо'рма	reform	Nf
1582	све'жий	fresh	A
1583	обя'занность	duty	Nf
1584	оте'чественный	domestic, patriotic	A
1585	выде'рживать	endure, withstand	V
1586	повторя'ть	repeat	V
1587	разделя'ть	divide, share	V
1588	биле'т	ticket	Nm
1589	соединя'ть	connect, join	V
1590	расхо'д	expense	Nm
1591	обору'дование	equipment	Nn
1592	уважа'емый	respected	A
1593	заключа'ть	conclude	V
1594	владе'лец	owner	Nm
1595	увели'чивать	increase	V
1596	должно'	must	Adv
1597	неме'дленно	immediately	Adv
1598	семе'йный	family	A
1599	дя'дя	uncle	Nm
1600	крик	scream	Nm
1601	обходи'ться	manage, come to	V
1602	че'стно	honestly	Adv
1603	сигна'л	signal	Nm
1604	формирова'ние	formation, development	Nn
1605	трава'	grass	Nf
1606	исходи'ть	proceed, emanate	V
1607	учрежде'ние	institution	Nn
1608	лече'ние	treatment	Nn
1609	Кита'й	China	Nm
1610	показа'тель	indicator, figure	Nm
1611	за'мок/замо'к	castle (the first syllable  stressed), lock (the second syllable stressed)	Nm
1612	я'щик	box, drawer	Nm
1613	возде'йствие	effect	Nn
1614	обсужде'ние	discussion	Nn
1615	прика'зывать	order	V
1616	све'тлый	light	A
1617	стул	chair, stool (faeces)	Nm
1618	слегка'	slightly	Adv
1619	убежда'ть	convince	V
1620	ми'мо	past, miss	Prep
1621	устава'ть	get tired	V
1622	ска'зка	tale	Nf
1623	добира'ться	reach, get to	V
1624	обстано'вка	situation	Nf
1625	осно'вываться	base	V
1626	расстоя'ние	distance	Nn
1627	отпуска'ть	let out	V
1628	подчёркивать	underline, emphasize	V
1629	шум	noise	Nm
1630	беда'	misfortune, tragedy	Nf
1631	споко'йный	calm	A
1632	упомина'ть	mention	V
1633	весёлый	cheerful	A
1634	диск	disc	Nm
1635	побежда'ть	win	V
1636	удо'бный	comfortable, convenient	A
1637	ше'я	neck	Nf
1638	тако'в	such, that	P
1639	меня'ться	change	V
1640	подгота'вливать	prepare	V
1641	ра'нее	earlier, previously	Adv
1642	америка'нец	American	Nm
1643	шанс	chance	Nm
1644	развива'ться	develop	V
1645	сохраня'ться	be preserved	V
1646	извиня'ть	forgive, excuse	V
1647	ко'фе	coffee	Nm
1648	не'чего	nothing	P
1649	кни'жка	book	Nf
1650	действи'тельность	reality	Nf
1651	чте'ние	reading	Nn
1652	гото'виться	prepare, train	V
1653	ло'дка	boat	Nf
1654	су'тки	day and night	N-
1655	доставля'ть	deliver, cause	V
1656	давле'ние	pressure	Nn
1657	мол	he says, she says, etc., apparently	Adv
1658	буква'льный	literal	A
1659	учи'тывать	consider	V
1660	уби'йство	murder	Nn
1661	ле'стница	stairs	Nf
1662	потреби'тель	consumer	Nm
1663	вне	beyond, outside	Prep
1664	религио'зный	religious	A
1665	впереди'	ahead, in front	Adv
1666	кусо'к	piece	Nm
1667	страте'гия	strategy	Nf
1668	набо'р	set, recruitment	Nm
1669	ци'фра	figure	Nf
1670	досто'инство	dignity, advantage	Nn
1671	се'рия	episode, series, number	Nf
1672	осозна'вать	realize	V
1673	ве'рхний	top, upper	A
1674	кадр	frame	Nm
1675	основно'е	the main thing, the most  important thing	Nn
1676	посте'ль	bed	Nf
1677	выноси'ть	carry out, bear	V
1678	справля'ться	cope	V
1679	штаб	headquarters	Nm
1680	рожа'ть	give birth	V
1681	предусма'тривать	foresee	V
1682	малы'ш	baby, child	Nm
1683	привози'ть	bring	V
1684	внима'тельный	attentive	A
1685	мили'ция	police	Nf
1686	процеду'ра	procedure, treatment	Nf
1687	ожида'ние	expectation, waiting	Nn
1688	изуча'ть	learn, study	V
1689	госпо'дь	the Lord	Nm
1690	филосо'фия	philosophy	Nf
1691	подпи'сывать	sign	V
1692	еда'	food	Nf
1693	смех	laughter	Nm
1694	многочи'сленный	numerous	A
1695	гро'мко	loud(ly)	Adv
1696	наруша'ть	violate	V
1697	жи'зненный	vital, life, practical	A
1698	у'зкий	narrow	A
1699	це'нный	valuable	A
1700	води'тель	driver	Nm
1701	игро'к	player	Nm
1702	блок	block, unit	Nm
1703	страда'ть	suffer	V
1704	мост	bridge	Nm
1705	о'стрый	sharp, severe, spicy	A
1706	пое'здка	trip	Nf
1707	ра'зум	intelligence	Nm
1708	конце'пция	concept	Nf
1709	чино'вник	official	Nm
1710	отту'да	from there	P
1711	субъе'кт	subject	Nm
1712	тишина'	silence	Nf
1713	далёкий	distant	A
1714	направля'ться	go, come	V
1715	слух	hearing, rumour	Nm
1716	сра'внивать	compare	V
1717	покупа'тель	shopper	Nm
1718	удиви'тельный	amazing	A
1719	отходи'ть	depart, move away	V
1720	выступле'ние	performance, speech	Nn
1721	увеличе'ние	increase, rise	Nn
1722	мёртвый	dead	N-
1723	зарпла'та	salary	Nf
1724	заменя'ть	replace	V
1725	до'лжность	position	Nf
1726	о'сень	autumn	Nf
1727	ро'дственник	relative	Nm
1728	паке'т	package, plastic bag	Nm
1729	зри'тель	spectator	Nm
1730	стра'нно	strangely	Adv
1731	мечта'ть	dream	V
1732	рестора'н	restaurant	Nm
1733	пла'та	fee, charge	Nf
1734	судья'	judge, referee	Nm
1735	ра'ньше	earlier, used to	Adv
1736	убира'ть	clear	V
1737	внеза'пный	sudden	A
1738	охра'на	protection, security	Nf
1739	публика'ция	publication, journal article	Nf
1740	кра'йне	extremely, very	Adv
1741	дога'дываться	guess	V
1742	обсужда'ть	discuss	V
1743	надева'ть	put on	V
1744	луна'	moon	Nf
1745	ло'гика	logic	Nf
1746	специа''льно	specially	Adv
1747	компью'терный	computer	A
1748	проводи'ться	be conducted	V
1749	предупрежда'ть	warn	V
1750	раздава'ться	sound, be heard, be  distributed	V
1751	зе'ркало	mirror	Nn
1752	су'щность	essence, gist, nature	Nf
1753	си'ний	blue	A
1754	сле'дствие	consequence, investigation	Nn
1755	обра'тный	reverse, return	A
1756	ладо'нь	palm, hand	Nf
1757	выи'грывать	win	V
1758	строка'	line	Nf
1759	больно'й	sick, painful, patient	N-
1760	законода'тельство	legislation	Nn
1761	опуска'ть	lower, omit, sodomize	V
1762	да'льний	far	A
1763	чи'сто	cleanly, purely	Adv
1764	мечта'	dream	Nf
1765	загля'дывать	peep	V
1766	пита'ние	food, power	Nn
1767	файл	file	Nm
1768	интересова'ть	interest	V
1769	флот	fleet, navy	Nm
1770	рели'гия	religion	Nf
1771	бо'жий	God’s	A
1772	догова'риваться	agree	V
1773	характе'рный	characteristic	A
1774	ко'шка	cat	Nf
1775	обща'ться	communicate	V
1776	ва'жно	important	Adv
1777	ужа'сный	terrible	A
1778	висе'ть	hang	V
1779	то'лстый	thick, fat, plump	A
1780	отли'чный	excellent	A
1781	зака'з	order	Nm
1782	тон	tone	Nm
1783	оборо'на	defence	Nf
1784	прове'рка	examination	Nf
1785	реда'ктор	editor, processor	Nm
1786	когда'-то	once	P
1787	крыло'	wing	Nn
1788	ду'ма	thought, Duma	Nf
1789	вдоль	along	Prep
1790	запа'с	stock	Nm
1791	сосе'дний	neighbouring	A
1792	жёсткий	hard, firm	A
1793	исполне'ние	performance, execution,  carrying out	Nn
1794	замести'тель	deputy	Nm
1795	полко'вник	colonel	Nm
1796	выясня'ть	find out, establish	V
1797	спеши'ть	rush	V
1798	пя'тый	fifth	Num
1799	коне'чный	final	A
1800	кри'зис	crisis	Nm
1801	при'быль	profit	Nf
1802	спор	dispute	Nm
1803	кру'глый	round	A
1804	о'зеро	lake	Nn
1805	де'латься	be made, happen, become	V
1806	ди'кий	wild	A
1807	по-пре'жнему	still	Adv
1808	наноси'ть	apply	V
1809	дно	bottom	Nn
1810	те'рмин	term	Nm
1811	како'в	which, what	P
1812	воро'та	gate	N-
1813	пла'вать	swim, sail	V
1814	мла'дший	younger, junior	A
